reviews,cleaned_reviews
Bhai mayn ne koi 20 item ka order place kia tha. Kal se delievery start hui hay. abhi takk 5 courier walay aa chukay hayn aur item abhi takk incomplete hayn. Daraz agar ap vendor se order 1 jaga collect kar k 1 package bhej dayn to best hoga. Harr entry par gate se ja k inko lay kar aana hota hay. Totally irritating yar. Still waiting to recieve all the groccery items.,bhai may koi 20 item ka order place via kal delivery said hui hay abhi take 5 courier walay chukay hayn aur item abhi take incomplete hayn daraz agar vendor order 1 jaga collect car k 1 package bhej day best hoga hair entry per gate se ja k inko lay car aana hot hay totally irritating ya still waiting receive grocery items
"I was bit hesitated but the delivery turned out to be excellent. Original product and well packed by daraz and i got it for just 1000 rs on my credit card i got extra discount on 12.12 sale.
Happy customer
Highly recommended",I hesitated delivery turned excellent original product well packed daraz got 1000 rs credit card got extra discounts 12 12 sales happy customers highly recommended
product was good and good experience with Daraz Online. and i am satisfy with packing and delivery.  ,product good good experience data online I satisfied packing delivery
"It’s first time happened that daraz rider didn’t deliver the order and marked it delivered, suffered a lot and still waiting for the outcome. ",It first time happened radar rider deliver order marked delivered suffered lot still waiting outcome
very late delivery ..i purchased the same after 5 days of my order ..got order after 2 weeks...v bad.,late delivery purchased 5 days order got order 2 weeks v bad
"high quality product with high quality services

thankyou and keep up the gud work",high quality products high quality services thankyou keep good work
"nice product highly recommended, images couldn't be uploaded on app. thanks daraz",nice product highly recommended images uploaded app thanks data
"Really good product in reasonable price, I appreciate daraz online shopping 👍",really good products reasonable price appreciate done online shopping
"nice product highly recommended, images couldn't be uploaded on app.",nice product highly recommended images uploaded app
good price. came in perfect condition. double box. will order again,good price came perfect condition double box order
Quality is okay but it is little bit expensive from local market?,quality okay little bit expensive local markets
Excellent service excellent packing and superb discounted rates,excellent service excellent packing superb discounted rates
"delivered within a day, original product + price is also good.",delivered within day original product price also good
"bohat achi packing in time delevery good product 
thnkx daraz",boats achieve packing time deliver good product thanks daraz
item and packing was good thanks for draz mall is great!,item packing good thanks draz small great
Fast Delivery.  Fresh manufactured. Highly recommend ,fast delivery fresh manufactured highly recommend
nicely packed timely delivered and quality is same,nicely packed timely delivered quality safe
It was a perfect product with excellent quality.,perfect product excellent quality
100% original..Recommended..quick delivery too,100 original recommended quick delivery
"Well packed, bit late in delivery, satisfied. ",well packed late delivery satisfied
delivered as Shown in picture good experience,delivered shown picture good experience
"Good quality, good experience, recommended. ",good quality good experience recommended
"timely delivered 
well packed
good quality",timely delivered well packed good quality
thanks daraz fast service original product,thanks daraz fast service original product
orignal product aur packing bhi achi thi.,original products packing achi
best quality.. best packaging material ,best quality best packaging material
Damaged cartoon... oil spilling out..,damaged cartoon oil spilling
Quality was good. Was Fragile Packed,quality good fragile packed
best oil ever with fabolous service,best oil ever fabulous service
best promotion very fast delivery,best promotion fast delivery
"Good quality, delivery in 2 days.",good quality delivery 2 days
I did not receive 12%cash back. ,I receive 12 cash back
best quality beautiful packing,best quality beautiful packing
fast delivery highly recommend,fast delivery highly recommended
thanks for the good service,thanks good service
Good quality product.,good quality product
Good quality product ,good quality product
best choice for habib,best choice cabin
Habib oil is the best,habit oil best
same as shown in pic,shown pic
Good product ,good product
Good Product ,good product
good product,good product
recommended,recommended
Perfect. Thank you ,perfect thank
"Please contact me as I can not contact to u the chat option doesn't work, I want these teet in 4, bt you send 1.. I want that again please contact me",please contact contact option work want teeth 4 send 1 want please contact
didn't get the original teat. even the number of teat is 1 whereas i requested for 3. seller said it was original but it came without any pack in a random shopping bag. ,get original even number 1 whereas requested 3 sellers said original came without pack random shopping bag
Original product and cheap then the market rate but I ask for size 3 and they send me size 1,original product cheap market rate ask size 3 send size 1
product was wrong,product wrong
"when received they were bully and bulky but with time they are fine now, and as they are life time warranty then no need to worry. good choice in this price
thanks",received bulky bulky time fine life time warranty need worry good choices price thanks
